Number,Content,Trinary,Source
0,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,-1,Twitter
1,Layin n bed with a headache  ughhhh...waitin on your call...,-1,Twitter
2,Funeral ceremony...gloomy friday...,-1,Twitter
3,wants to hang out with friends SOON!,1,Twitter
4,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",0,Twitter
5,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,1,Twitter
6,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp",-1,Twitter
7,Hmmm. http://www.djhero.com/ is down,1,Twitter
8,@charviray Charlene my love. I miss you,1,Twitter
9,@kelcouch I'm sorry  at least it's Friday?,-1,Twitter
10,cant fall asleep,0,Twitter
11,Choked on her retainers,-1,Twitter
12,Ugh! I have to beat this stupid song to get to the next  rude!,-1,Twitter
13,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0,Twitter
14,Got the news,0,Twitter
15,The storm is here and the electricity is gone,-1,Twitter
16,@annarosekerr agreed,0,Twitter
17,So sleepy again and it's not even that late. I fail once again.,-1,Twitter
18,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,-1,Twitter
19,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,-1,Twitter
20,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,1,Twitter
21,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",-1,Twitter
22,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,0,Twitter
23,I ate Something I don't know what it is... Why do I keep Telling things about food,0,Twitter
24,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot,-1,Twitter
25,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,-1,Twitter
26,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",-1,Twitter
27,Damm servers still down  i need to hit 80 before all the koxpers pass me,0,Twitter
28,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,-1,Twitter
29,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,-1,Twitter
30,It is so annoying when she starts typing on her computer in the middle of the night!,-1,Twitter
31,@cynthia_123 i cant sleep,0,Twitter
32,I missed the bl***y bus!!!!!!!!,-1,Twitter
33,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,0,Twitter
34,SoCal!  stoked. or maybe not.. tomorrow,1,Twitter
35,Screw you @davidbrussee! I only have 3 weeks...,1,Twitter
36,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,-1,Twitter
37,I need skott right now,0,Twitter
38,has work this afternoon,0,Twitter
39,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,-1,Twitter
40,mmm much better day... so far! it's still quite early. last day of #uds,1,Twitter
41,@DavidArchie &lt,0,Twitter
42,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,1,Twitter
43,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,0,Twitter
44,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,-1,Twitter
45,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",1,Twitter
46,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",1,Twitter
47,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,-1,Twitter
48,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",1,Twitter
49,wnna take a bath!!!!,1,Twitter
50,Chocolate milk is so much better through a straw. I lack said straw,-1,Twitter
51,why am i so tired?,-1,Twitter
52,@djmicdamn hey yu lil fucker i textd yu,-1,Twitter
53,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",0,Twitter
54,@benballer  no way! damn that sucks B!  are you ok?,-1,Twitter
55,sucks not being able to take days off of work or have the money to take the trip  so sad,-1,Twitter
56,"bed...sorta. today was good, sara has strep thought Angelina does to",1,Twitter
57,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,-1,Twitter
58,@lostluna But I got dibs on Sulu...,0,Twitter
59,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",-1,Twitter
60,@itsgabbith at once haha.  poor aby still gets sore!,-1,Twitter
61,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,-1,Twitter
62,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot,1,Twitter
63,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,-1,Twitter
64,At home alone with not much to do,0,Twitter
65,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,1,Twitter
66,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,1,Twitter
67,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,-1,Twitter
68,So great to see Oin &amp,1,Twitter
69,I cant give @jertronic any bday nudges.,0,Twitter
70,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',-1,Twitter
71,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,1,Twitter
72,says I miss plurking.  http://plurk.com/p/wxion,-1,Twitter
73,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",-1,Twitter
74,I miss Voobys!,1,Twitter
75,@Dancing_Monk Neither are ELP!!,1,Twitter
76,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",1,Twitter
77,is sad that shin ae got married...and it wasn't to alex,-1,Twitter
78,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot",0,Twitter
79,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,0,Twitter
80,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,-1,Twitter
81,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",-1,Twitter
82,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",1,Twitter
83,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,1,Twitter
84,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,0,Twitter
85,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,1,Twitter
86,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,-1,Twitter
87,I can't sleep...I keep thinking about the puppy I played with today,0,Twitter
88,.. I'm suppposed to be sleep. But i got some much to do. &amp,0,Twitter
89,@lepetitagneau what's going on sweetheart?,1,Twitter
90,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",-1,Twitter
91,"Last one month due to summer, strawberry is not availble in the Chennai markets!",1,Twitter
92,@willxxmobb work at 6am. Gotta go to bed soon,0,Twitter
93,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,1,Twitter
94,@sweeetnspicy hiii im on my ipod...i cant fall asleep,1,Twitter
95,dont wanna work 11-830 tomorrow  but i get paid,0,Twitter
96,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,-1,Twitter
97,PrinceCharming,0,Twitter
98,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,-1,Twitter
99,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),-1,Twitter
100,@mrgenius23 You win ... SIGH Rakeem,0,Twitter
101,Oh is that time for real?,0,Twitter
102,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,-1,Twitter
103,Oh no one minute too late! Oh well,1,Twitter
104,"@soviet_star Damn, that sucks",-1,Twitter
105,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,-1,Twitter
106,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,1,Twitter
107,ahh! big scary bug flying around my room!!!!!,-1,Twitter
108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",1,Twitter
109,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,-1,Twitter
110,@justamedicine  That was stone cold   Crazy....  ?,-1,Twitter
111,i'm so tired,-1,Twitter
112,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,1,Twitter
113,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,0,Twitter
114,@thecreativeone I second that. I wish it rained more where I am,0,Twitter
115,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,-1,Twitter
116,damn it were is Eric or anyone else when you need your hair to be played with,-1,Twitter
117,I'm feel deflated. Ugh. No more dog.,-1,Twitter
118,Allergies suck ducks nuts.     &lt,-1,Twitter
119,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,-1,Twitter
120,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...,1,Twitter
121,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",0,Twitter
122,@britblackbird  youstinkatrespondingtotexts!,1,Twitter
123,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,0,Twitter
124,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",1,Twitter
125,Is miserable  i feel like im gona cry  sux!,-1,Twitter
126,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,0,Twitter
127,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,1,Twitter
128,"claire @breakfastnt love the show, got into the office @ 5am and no radio",1,Twitter
129,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.,1,Twitter
130,*sigh* I'm going to bed... I just don't feel right anymore...,0,Twitter
131,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,1,Twitter
132,@jwillock EpiCentre Wheelock Place - tourists only..,0,Twitter
133,Now I am depressed after watching so you think you can dance,-1,Twitter
134,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",-1,Twitter
135,miss 16'th,-1,Twitter
136,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",1,Twitter
137,"I cant sleep, but im too sore to move",-1,Twitter
138,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,-1,Twitter
139,@softtouchme just answered you- never learned how to write in French- just basic stuff-,0,Twitter
140,what is it with chocolates? i just can never say no,0,Twitter
141,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,-1,Twitter
142,@ether_radio i'm too awake now  ill have a nap this afternoon,-1,Twitter
143,@omfgiselle i cant do anything,0,Twitter
144,still needs another 6 hours of sleep,0,Twitter
145,I'm at work,0,Twitter
146,RIP leonardo. You were a great mini fiddler crab,1,Twitter
147,"Morning tweeple,way to early again",0,Twitter
148,"Last day working for the Uni today, sad times",-1,Twitter
149,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",1,Twitter
150,My head hurts so bad I could scream!,-1,Twitter
151,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,-1,Twitter
152,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,-1,Twitter
153,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,-1,Twitter
154,"where are all ma bestfriends at ? , MIA or wat ?",0,Twitter
155,oh men!!!!!!......I really can't see my face........c'mon guys!!!,1,Twitter
156,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",0,Twitter
157,my sole supporter is not my sole supporter,1,Twitter
158,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,-1,Twitter
159,@Emilyyy16 urgh stop it guys,1,Twitter
160,is still missing her husband.    I really want him home.,0,Twitter
161,I miss my puppy,-1,Twitter
162,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",0,Twitter
163,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,1,Twitter
164,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),0,Twitter
165,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,1,Twitter
166,@BarbSchaefer yearling in pet home died... very sad for their whole family,-1,Twitter
167,fun in the sun hmmm hell no it's cold,-1,Twitter
168,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,-1,Twitter
169,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt",-1,Twitter
170,is feeling sad... for some reason..  http://plurk.com/p/wxji3,-1,Twitter
171,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,-1,Twitter
172,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,-1,Twitter
173,@juneyee i don't think so.  I WANT DETAILS.,0,Twitter
174,@jackgraycnn Hi...!!! Who is Mary Poppins???,1,Twitter
175,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",-1,Twitter
176,my last tweet didn't send  bad phone,-1,Twitter
177,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,1,Twitter
178,Have a headache  I'm going to bed. Goodnight!,-1,Twitter
179,@taxidermi  I was watching Parental Control,0,Twitter
180,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",1,Twitter
181,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,-1,Twitter
182,@jertronic it wont let me,0,Twitter
183,Took a shift tomorrow.    I don't really feel like working right now.,1,Twitter
184,but now i have no money for a phone,0,Twitter
185,Spent last night in A&amp,0,Twitter
186,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,0,Twitter
187,@Bern_morley where are you? In Bris? I can't hear any thunder,0,Twitter
188,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",1,Twitter
189,Too bad the Red Devils.. disappointing to say the least,-1,Twitter
190,I had a dream about a pretty pretty beach and there was no beach when I woke up,1,Twitter
191,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",0,Twitter
192,when da heck will the garage man get here I ask you.. WHEN..,0,Twitter
193,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",-1,Twitter
194,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,1,Twitter
195,why are plane tickets so expensive,-1,Twitter
196,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,1,Twitter
197,Needs a job BADLY!!!,-1,Twitter
198,@AlexanderGWhite daaammmnnnnn I do wish I was there.,-1,Twitter
