Number,CommentText,Trinary,Source
0,"I tried, the UNC path, allow service desktop access, service as admin, nothing worked.",0,StackOverflow
1,Using 'net use' to create the drive within the batch file worked flawlessly. Thanks,1,StackOverflow
2,The recyclerview is recommended more than a listview for these purposes,0,StackOverflow
3,an additional point for anyone looking at this. Make sure you haven't set both leading & trailing constraints as those override 'greater than' constraints,1,StackOverflow
4,Man!! This was so helpful after like 2 hours dealing this $hit. Love you man.,1,StackOverflow
5,Shouldn't that be `ngAfterViewInit()`?,0,StackOverflow
6,"btw, I recently wrote a blog post about Deployments and why to use them: https://blog.giantswarm.io/understanding-basic-kubernetes-concepts-using-deployments-manage-services-declaratively/",0,StackOverflow
7,"According to Jeffrey Way, this is the 'preferred' method as it also allows authorisation checking. However there's no reason why the above rules method can't retrieve its rules from a static property of the model. So instead of `public $rules` it would become `public static $rules` and the above method would just return `MyModel::$rules`",-1,StackOverflow
8,"In your swift3 example can you show more details about setting up the configuration, password stuff etc... other tutorials are very very different from your solution so would help.  thanks!",1,StackOverflow
9,Thank you. It worked for me :),1,StackOverflow
10,@ChrisPatterson I tried that but it would give me errors when I did anything but use the default settings,-1,StackOverflow
11,This should be an OR condition. It can't be both Saturday AND Sunday.,0,StackOverflow
12,"Not really an answer to the question, but still useful, clearly shows the difference between self and static.",-1,StackOverflow
13,"I liked your version slightly better, but after changing it I ran into _""Invalid configuration of route 'browse/**'. One of the following must be provided: component, redirectTo, children or loadChildren""_.",1,StackOverflow
14,"Just in case it helps anyone: in Angular 4.1.x, I used `component` in the wildcard child rather than the parent: `{path: 'browse', children: [{path: '**', component: BrowserComponent}]}`.",1,StackOverflow
15,"This happens even when the inheritance tree is simpler, i.e. when there's no common base protocol. Which makes me wonder what the cause of this problem is.",-1,StackOverflow
16,"Singleton classes, if properly implemented, do not need to be declared final in order to not be extended. Since all the constructors of the singleton class are private, you can't extend that class. In fact, singleton classes are effectively final.",0,StackOverflow
17,What's the difference between the two?,0,StackOverflow
18,That's bloody unexpected,-1,StackOverflow
19,I'm downvoting this shameless plug... maybe give a code example of how you would solve the question being posted using the library?,-1,StackOverflow
20,Just wanted to let you know that I used your solution today on a different site ,0,StackOverflow
21,"Yes, you can do it this way, but it's much faster to do a single `%` operation with the LCM. It takes a tiny bit of time to calculate the LCM (using the code I posted above, it takes under 20 microseconds to calculate the LCM of the numbers under 20 on my old 2GHz machine),  and if you need to check that lots of numbers pass the same divisibility test the overhead of calculating the LCM is negligible.",0,StackOverflow
22,"Hi John, welcome to SO and thanks for your answer. Code only answers are discouraged because the link can change over time and become invalidated - therefore it is much better to provide a complete answer that can stand here on its own, with the link as a reference. Would you mind editing your answer with this in mind? Thanks again!",1,StackOverflow
23,"Well, it doesnt work, it crashes as expplained here: https://github.com/jitsi/sdp-interop/issues/4",0,StackOverflow
24,"It's worth noting you should put this BEFORE you actually call `AddMvc()` in your `Startup.ConfigureServices()` method. `AddRouting()` which is also called by `AddMvc()`uses the `Try` variants of the methods for adding dependencies to your service collection. So when it sees that the routing dependencies have already been added, it will skip that parts of `AddMvc()` setup logic.",0,StackOverflow
25,Lifesaver! This would have taken me ages to track down.,1,StackOverflow
26,Do you have a link to ticket #84051?,0,StackOverflow
27,Thanks this solved it for me. :-). Also fixed all 404 errors.,-1,StackOverflow
28,The line removing the 'my-dir' attribute is what I needed to get my code working (to prevent infinite recursion).  Thanks!,1,StackOverflow
29,The tutorial has [moved to here](https://getgrav.org/blog/macos-sierra-apache-multiple-php-versions).,0,StackOverflow
30,"I had the same issue, important side note from me, is to add the import above all other imports in app.module.ts or whatever your module file is named.",0,StackOverflow
